,movie_title,actor_1_name,actor_2_name,actor_3_name,director_name,genres,Combined
10,sly cooper,Chris Murphy,Ian James Corlett,Matt Olsen,Kevin Munroe,Animation Adventure Comedy Action Family,sly cooperChris MurphyIan James CorlettMatt OlsenKevin MunroeAnimation Adventure Comedy Action Family
11,the circle,Emma Watson,Tom Hanks,John Boyega,James Ponsoldt,Drama Thriller Sci-Fi,the circleEmma WatsonTom HanksJohn BoyegaJames PonsoldtDrama Thriller Sci-Fi
12,pitch perfect 3,Anna Kendrick,Rebel Wilson,Brittany Snow,Trish Sie,Comedy,pitch perfect 3Anna KendrickRebel WilsonBrittany SnowTrish SieComedy
14,the devil's candy,Ethan Embry,Shiri Appleby,Kiara Glasco,Sean Byrne,Horror,the devil's candyEthan EmbryShiri ApplebyKiara GlascoSean ByrneHorror
15,las plantas,Violeta Castillo,Ingrid Isensee,Mauricio Vaca,Roberto Doveris,Drama,las plantasVioleta CastilloIngrid IsenseeMauricio VacaRoberto DoverisDrama
16,"return to return to nuke 'em high, aka volume 2",Asta Paredes,Catherine Corcoran,Zac Amino,Lloyd Kaufman,Comedy Horror,"return to return to nuke 'em high, aka volume 2Asta ParedesCatherine CorcoranZac AminoLloyd KaufmanComedy Horror"
17,the cheerleader murders,Amanda Leighton,Samantha Boscarino,Hannah Kasulka,David Jackson,TV Movie Thriller,the cheerleader murdersAmanda LeightonSamantha BoscarinoHannah KasulkaDavid JacksonTV Movie Thriller
18,dean,Demetri Martin,Gillian Jacobs,Christine Woods,Demetri Martin,Comedy,deanDemetri MartinGillian JacobsChristine WoodsDemetri MartinComedy
19,leatherface,Stephen Dorff,Lili Taylor,Sam Strike,Alexandre Bustillo Julien Maury,Horror,leatherfaceStephen DorffLili TaylorSam StrikeAlexandre Bustillo Julien MauryHorror
20,47 meters down,Claire Holt,Mandy Moore,Chris Johnson,Johannes Roberts,Drama Thriller Horror Adventure,47 meters downClaire HoltMandy MooreChris JohnsonJohannes RobertsDrama Thriller Horror Adventure
21,porto,Lucie Lucas,Anton Yelchin,Paulo Calatré,Gabe Klinger,Romance Drama,portoLucie LucasAnton YelchinPaulo CalatréGabe KlingerRomance Drama
22,mamaboy,Sean O'Donnell,Alexandria DeBerry,Gary Busey,Aaron Leong,Comedy Drama Family Fantasy Romance Sci-Fi,mamaboySean O'DonnellAlexandria DeBerryGary BuseyAaron LeongComedy Drama Family Fantasy Romance Sci-Fi
24,the promise,Oscar Isaac,Charlotte Le Bon,Christian Bale,Terry George,History Romance Drama,the promiseOscar IsaacCharlotte Le BonChristian BaleTerry GeorgeHistory Romance Drama
25,all eyez on me,Demetrius Shipp Jr.,Danai Gurira,Kat Graham,Benny Boom,Drama Music,all eyez on meDemetrius Shipp Jr.Danai GuriraKat GrahamBenny BoomDrama Music
26,colossal,Anne Hathaway,Jason Sudeikis,Tim Blake Nelson,Nacho Vigalondo,Action Comedy Drama Fantasy Sci-Fi,colossalAnne HathawayJason SudeikisTim Blake NelsonNacho VigalondoAction Comedy Drama Fantasy Sci-Fi
28,london town,Jonathan Rhys Meyers,Daniel Huttlestone,Dougray Scott,Derrick Borte,Drama Music,london townJonathan Rhys MeyersDaniel HuttlestoneDougray ScottDerrick BorteDrama Music
29,brimstone,Guy Pearce,Dakota Fanning,Carice van Houten,Martin Koolhoven,Mystery Thriller Western,brimstoneGuy PearceDakota FanningCarice van HoutenMartin KoolhovenMystery Thriller Western
30,the white king,Agyness Deyn,Jonathan Pryce,Fiona Shaw,Alex Helfrecht Jörg Tittel,Drama Sci-Fi,the white kingAgyness DeynJonathan PryceFiona ShawAlex Helfrecht Jörg TittelDrama Sci-Fi
31,risk,Julian Assange,Sarah Harrison,Jacob Appelbaum,Laura Poitras,Documentary,riskJulian AssangeSarah HarrisonJacob AppelbaumLaura PoitrasDocumentary
33,shangri-la suite,Emily Browning,Luke Grimes,Ron Livingston,Eddie O'Keefe,Romance Drama Crime,shangri-la suiteEmily BrowningLuke GrimesRon LivingstonEddie O'KeefeRomance Drama Crime
34,godless,Irena Ivanova,Ivan Nalbantov,Ventzislav Konstantinov,Ralitza Petrova,Drama,godlessIrena IvanovaIvan NalbantovVentzislav KonstantinovRalitza PetrovaDrama
35,the space between us,Asa Butterfield,Britt Robertson,Carla Gugino,Peter Chelsom,Romance Adventure Sci-Fi Drama,the space between usAsa ButterfieldBritt RobertsonCarla GuginoPeter ChelsomRomance Adventure Sci-Fi Drama
37,i am not your negro,Samuel L. Jackson,James Baldwin,Malcolm X,Raoul Peck,Documentary,i am not your negroSamuel L. JacksonJames BaldwinMalcolm XRaoul PeckDocumentary
39,a dog's purpose,Dennis Quaid,Britt Robertson,Josh Gad,Lasse Hallström,Comedy Drama Family Fantasy,a dog's purposeDennis QuaidBritt RobertsonJosh GadLasse HallströmComedy Drama Family Fantasy
40,manifesto,Cate Blanchett,Erika Bauer,Ruby Bustamante,Julian Rosefeldt,Drama,manifestoCate BlanchettErika BauerRuby BustamanteJulian RosefeldtDrama
41,the little hours,Alison Brie,Dave Franco,Aubrey Plaza,Jeff Baena,Comedy,the little hoursAlison BrieDave FrancoAubrey PlazaJeff BaenaComedy
42,fist fight,Charlie Day,Ice Cube,Tracy Morgan,Richie Keen,Comedy,fist fightCharlie DayIce CubeTracy MorganRichie KeenComedy
43,sleepless,Jamie Foxx,Michelle Monaghan,Dermot Mulroney,Baran bo Odar,Action Crime Thriller,sleeplessJamie FoxxMichelle MonaghanDermot MulroneyBaran bo OdarAction Crime Thriller
44,a cure for wellness,Dane DeHaan,Jason Isaacs,Mia Goth,Gore Verbinski,Mystery Thriller Horror Sci-Fi,a cure for wellnessDane DeHaanJason IsaacsMia GothGore VerbinskiMystery Thriller Horror Sci-Fi
45,the man,Jakob Oftebro,Ane Dahl Torp,Søren Malling,Charlotte Sieling,Drama Comedy,the manJakob OftebroAne Dahl TorpSøren MallingCharlotte SielingDrama Comedy
46,xxx: return of xander cage,Vin Diesel,Ice Cube,Samuel L. Jackson,D.J. Caruso,Action Adventure Crime,xxx: return of xander cageVin DieselIce CubeSamuel L. JacksonD.J. CarusoAction Adventure Crime
47,the bye bye man,Douglas Smith,Lucien Laviscount,Cressida Bonas,Stacy Title,Horror Thriller,the bye bye manDouglas SmithLucien LaviscountCressida BonasStacy TitleHorror Thriller
48,prevenge,Alice Lowe,Jo Hartley,Kate Dickie,Alice Lowe,Horror Comedy Drama Thriller Fantasy,prevengeAlice LoweJo HartleyKate DickieAlice LoweHorror Comedy Drama Thriller Fantasy
49,the lego batman movie,Will Arnett,Zach Galifianakis,Michael Cera,Chris McKay,Action Animation Comedy Family Fantasy,the lego batman movieWill ArnettZach GalifianakisMichael CeraChris McKayAction Animation Comedy Family Fantasy
50,a wedding,Lina El Arabi,Sébastien Houbani,Babak Karimi,Stephan Streker,Drama,a weddingLina El ArabiSébastien HoubaniBabak KarimiStephan StrekerDrama
51,kung fu yoga,Jackie Chan,Disha Patani,Sonu Sood,Stanley Tong,Mystery Action Adventure Comedy,kung fu yogaJackie ChanDisha PataniSonu SoodStanley TongMystery Action Adventure Comedy
52,rangoon,Saif Ali Khan,Shahid Kapoor,Kangana Ranaut,Vishal Bhardwaj,War History Drama Romance,rangoonSaif Ali KhanShahid KapoorKangana RanautVishal BhardwajWar History Drama Romance
53,death race 2050,Manu Bennett,Malcolm McDowell,Marci Miller,G.J. Echternkamp,Action Comedy Sci-Fi,death race 2050Manu BennettMalcolm McDowellMarci MillerG.J. EchternkampAction Comedy Sci-Fi
54,trespass against us,Michael Fassbender,Brendan Gleeson,Lyndsey Marshal,Adam Smith,Action Drama Crime Thriller,trespass against usMichael FassbenderBrendan GleesonLyndsey MarshalAdam SmithAction Drama Crime Thriller
55,claire in motion,Betsy Brandt,Chris Beetem,Zev Haworth,Lisa Robinson Annie J. Howell,Drama,claire in motionBetsy BrandtChris BeetemZev HaworthLisa Robinson Annie J. HowellDrama
56,coin heist,Alex Saxon,Alexis G. Zall,Sasha Pieterse,Emily Hagins,Family Crime,coin heistAlex SaxonAlexis G. ZallSasha PieterseEmily HaginsFamily Crime
57,rings,Matilda Anna Ingrid Lutz,Alex Roe,Johnny Galecki,F. Javier Gutiérrez,Horror,ringsMatilda Anna Ingrid LutzAlex RoeJohnny GaleckiF. Javier GutiérrezHorror
58,clinical,Vinessa Shaw,Kevin Rahm,Aaron Stanford,Alistair Legrand,Thriller,clinicalVinessa ShawKevin RahmAaron StanfordAlistair LegrandThriller
60,eu fico loko,Michel Joelsas,Alessandra Negrini,Marcello Airoldi,Bruno Garotti,Comedy,eu fico lokoMichel JoelsasAlessandra NegriniMarcello AiroldiBruno GarottiComedy
61,the crash,Frank Grillo,Minnie Driver,AnnaSophia Robb,Aram Rappaport,Crime Thriller,the crashFrank GrilloMinnie DriverAnnaSophia RobbAram RappaportCrime Thriller
62,kizumonogatari part 3: reiketsu,Hiroshi Kamiya,Yui Horie,Maaya Sakamoto,Tatsuya Oishi Akiyuki Shinbo,Animation Fantasy Mystery,kizumonogatari part 3: reiketsuHiroshi KamiyaYui HorieMaaya SakamotoTatsuya Oishi Akiyuki ShinboAnimation Fantasy Mystery
63,john wick: chapter 2,Keanu Reeves,Common,Laurence Fishburne,Chad Stahelski,Thriller Action Crime,john wick: chapter 2Keanu ReevesCommonLaurence FishburneChad StahelskiThriller Action Crime
64,get out,Daniel Kaluuya,Allison Williams,Bradley Whitford,Jordan Peele,Mystery Thriller Horror,get outDaniel KaluuyaAllison WilliamsBradley WhitfordJordan PeeleMystery Thriller Horror
65,logan,Hugh Jackman,Patrick Stewart,Dafne Keen,James Mangold,Action Drama Sci-Fi,loganHugh JackmanPatrick StewartDafne KeenJames MangoldAction Drama Sci-Fi
66,kong: skull island,Tom Hiddleston,Samuel L. Jackson,Brie Larson,Jordan Vogt-Roberts,Action Adventure Fantasy,kong: skull islandTom HiddlestonSamuel L. JacksonBrie LarsonJordan Vogt-RobertsAction Adventure Fantasy
67,city of tiny lights,Riz Ahmed,Billie Piper,James Floyd,Pete Travis,Crime Drama Thriller,city of tiny lightsRiz AhmedBillie PiperJames FloydPete TravisCrime Drama Thriller
68,t2 trainspotting,Ewan McGregor,Jonny Lee Miller,Ewen Bremner,Danny Boyle,Crime Drama,t2 trainspottingEwan McGregorJonny Lee MillerEwen BremnerDanny BoyleCrime Drama
69,science fiction volume one: the osiris child,Kellan Lutz,Daniel MacPherson,Isabel Lucas,Shane Abbess,Sci-Fi,science fiction volume one: the osiris childKellan LutzDaniel MacPhersonIsabel LucasShane AbbessSci-Fi
70,before i fall,Zoey Deutch,Halston Sage,Logan Miller,Ry Russo-Young,Mystery Drama Thriller,before i fallZoey DeutchHalston SageLogan MillerRy Russo-YoungMystery Drama Thriller
71,the big sick,Kumail Nanjiani,Zoe Kazan,Holly Hunter,Michael Showalter,Comedy Drama Romance,the big sickKumail NanjianiZoe KazanHolly HunterMichael ShowalterComedy Drama Romance
72,ingrid goes west,Aubrey Plaza,Elizabeth Olsen,O'Shea Jackson Jr.,Matt Spicer,Drama Comedy,ingrid goes westAubrey PlazaElizabeth OlsenO'Shea Jackson Jr.Matt SpicerDrama Comedy
73,i don't feel at home in this world anymore,Melanie Lynskey,Elijah Wood,David Yow,Macon Blair,Comedy Crime Drama Thriller,i don't feel at home in this world anymoreMelanie LynskeyElijah WoodDavid YowMacon BlairComedy Crime Drama Thriller
74,king arthur: legend of the sword,Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,Guy Ritchie,Action Drama Fantasy,king arthur: legend of the swordCharlie HunnamAstrid Bergès-FrisbeyJude LawGuy RitchieAction Drama Fantasy
75,beauty and the beast,Emma Watson,Dan Stevens,Luke Evans,Bill Condon,Family Fantasy Romance,beauty and the beastEmma WatsonDan StevensLuke EvansBill CondonFamily Fantasy Romance
76,take the 10,Stella Maeve,Andy Samberg,Josh Peck,Chester Tam,Comedy,take the 10Stella MaeveAndy SambergJosh PeckChester TamComedy
77,the boss baby,Alec Baldwin,Miles Bakshi,Jimmy Kimmel,Tom McGrath,Animation Comedy Family,the boss babyAlec BaldwinMiles BakshiJimmy KimmelTom McGrathAnimation Comedy Family
78,justice league dark,Matt Ryan,Jason O'Mara,Camilla Luddington,Jay Oliva,Action Animation Fantasy Sci-Fi Thriller,justice league darkMatt RyanJason O'MaraCamilla LuddingtonJay OlivaAction Animation Fantasy Sci-Fi Thriller
79,the other me,Pigmalion Dadakaridis,Dimitris Katalifos,Manos Vakousis,Sotiris Tsafoulias,Thriller Mystery,the other mePigmalion DadakaridisDimitris KatalifosManos VakousisSotiris TsafouliasThriller Mystery
81,call me by your name,Timothée Chalamet,Armie Hammer,Michael Stuhlbarg,Luca Guadagnino,Romance Drama,call me by your nameTimothée ChalametArmie HammerMichael StuhlbargLuca GuadagninoRomance Drama
82,iboy,Bill Milner,Maisie Williams,Rory Kinnear,Adam Randall,Action Crime Sci-Fi Thriller,iboyBill MilnerMaisie WilliamsRory KinnearAdam RandallAction Crime Sci-Fi Thriller
83,l'ora legale,Salvatore Ficarra,Valentino Picone,Vincenzo Amato,Salvatore Ficarra Valentino Picone,Comedy,l'ora legaleSalvatore FicarraValentino PiconeVincenzo AmatoSalvatore Ficarra Valentino PiconeComedy
84,catfight,Sandra Oh,Anne Heche,Alicia Silverstone,Onur Tukel,Comedy Drama,catfightSandra OhAnne HecheAlicia SilverstoneOnur TukelComedy Drama
85,a ghost story,Casey Affleck,Rooney Mara,Will Oldham,David Lowery,Drama Fantasy Romance,a ghost storyCasey AffleckRooney MaraWill OldhamDavid LoweryDrama Fantasy Romance
86,ghost in the shell,Scarlett Johansson,Michael Pitt,Pilou Asbæk,Rupert Sanders,Action Sci-Fi Thriller,ghost in the shellScarlett JohanssonMichael PittPilou AsbækRupert SandersAction Sci-Fi Thriller
87,pork pie,Dean O'Gorman,James Rolleston,Ashleigh Cummings,Matt Murphy,Action Comedy Crime,pork pieDean O'GormanJames RollestonAshleigh CummingsMatt MurphyAction Comedy Crime
89,xx,Natalie Brown,Melanie Lynskey,Breeda Wool,Karyn Kusama Jovanka Vuckovic Roxanne Benjamin St. Vincent,Horror,xxNatalie BrownMelanie LynskeyBreeda WoolKaryn Kusama Jovanka Vuckovic Roxanne Benjamin St. VincentHorror
90,ok jaanu,Aditya Roy Kapoor,Shraddha Kapoor,Leela Samson,Shaad Ali,Drama Romance,ok jaanuAditya Roy KapoorShraddha KapoorLeela SamsonShaad AliDrama Romance
91,fifty shades darker,Dakota Johnson,Jamie Dornan,Eric Johnson,James Foley,Drama Romance,fifty shades darkerDakota JohnsonJamie DornanEric JohnsonJames FoleyDrama Romance
92,wilson,Woody Harrelson,Sandy Oian-Thomas,Shaun Brown,Craig Johnson,Drama Comedy,wilsonWoody HarrelsonSandy Oian-ThomasShaun BrownCraig JohnsonDrama Comedy
93,attraction,Rinal Mukhametov,Sergey Garmash,Oleg Menshikov,Fyodor Bondarchuk,Drama Romance Sci-Fi,attractionRinal MukhametovSergey GarmashOleg MenshikovFyodor BondarchukDrama Romance Sci-Fi
94,family heist,Jean Reno,Reem Kherici,Camille Chamoux,Pascal Bourdiaux,Comedy,family heistJean RenoReem KhericiCamille ChamouxPascal BourdiauxComedy
95,don't knock twice,Katee Sackhoff,Lucy Boynton,Javier Botet,Caradog W. James,Horror,don't knock twiceKatee SackhoffLucy BoyntonJavier BotetCaradog W. JamesHorror
96,the ticket,Dan Stevens,Malin Åkerman,Kerry Bishé,Ido Fluk,Drama,the ticketDan StevensMalin ÅkermanKerry BishéIdo FlukDrama
97,lavender,Abbie Cornish,Dermot Mulroney,Diego Klattenhoff,Ed Gass-Donnelly,Drama Thriller,lavenderAbbie CornishDermot MulroneyDiego KlattenhoffEd Gass-DonnellyDrama Thriller
98,detour,Tye Sheridan,Bel Powley,Emory Cohen,Christopher Smith,Thriller,detourTye SheridanBel PowleyEmory CohenChristopher SmithThriller
99,the book of love,Jason Sudeikis,Maisie Williams,Jessica Biel,Bill Purple,Drama,the book of loveJason SudeikisMaisie WilliamsJessica BielBill PurpleDrama
100,the other side of hope,Sakari Kuosmanen,Sherwan Haji,Simon Al-Bazoon,Aki Kaurismäki,Comedy Drama,the other side of hopeSakari KuosmanenSherwan HajiSimon Al-BazoonAki KaurismäkiComedy Drama
102,hickey,Troy Doherty,Flavia Watson,Raychel Diane Weiner,Alex Grossman,Comedy,hickeyTroy DohertyFlavia WatsonRaychel Diane WeinerAlex GrossmanComedy
104,orphan,Adèle Exarchopoulos,Adèle Haenel,Solène Rigot,Arnaud des Pallières,Drama,orphanAdèle ExarchopoulosAdèle HaenelSolène RigotArnaud des PallièresDrama
105,black snow,Ricardo Darín,Leonardo Sbaraglia,Laia Costa,Martín Hodara,Mystery Drama Crime Thriller,black snowRicardo DarínLeonardo SbaragliaLaia CostaMartín HodaraMystery Drama Crime Thriller
107,"michael bolton's big, sexy valentine's day special",Michael Bolton,Adam Scott,Sarah Shahi,Akiva Schaffer Scott Aukerman,Comedy Music,"michael bolton's big, sexy valentine's day specialMichael BoltonAdam ScottSarah ShahiAkiva Schaffer Scott AukermanComedy Music"
108,lost in florence,Brett Dalton,Emily Atack,Stana Katic,Evan Oppenheimer,Adventure Drama Romance,lost in florenceBrett DaltonEmily AtackStana KaticEvan OppenheimerAdventure Drama Romance
109,bad kids of crestview academy,Gina Gershon,Sean Astin,Sammi Hanratty,Ben Browder,Mystery Comedy Thriller Sci-Fi Fantasy,bad kids of crestview academyGina GershonSean AstinSammi HanrattyBen BrowderMystery Comedy Thriller Sci-Fi Fantasy
110,smetto quando voglio: masterclass,Edoardo Leo,Valerio Aprea,Stefano Fresi,Sydney Sibilia,Action Comedy Crime,smetto quando voglio: masterclassEdoardo LeoValerio ApreaStefano FresiSydney SibiliaAction Comedy Crime
111,shepherds and butchers,Andrea Riseborough,Steve Coogan,Deon Lotz,Oliver Schmitz,Drama,shepherds and butchersAndrea RiseboroughSteve CooganDeon LotzOliver SchmitzDrama
112,in dubious battle,James Franco,Nat Wolff,Selena Gomez,James Franco,Drama,in dubious battleJames FrancoNat WolffSelena GomezJames FrancoDrama
113,berlin syndrome,Teresa Palmer,Max Riemelt,Matthias Habich,Cate Shortland,Mystery Thriller Drama Horror,berlin syndromeTeresa PalmerMax RiemeltMatthias HabichCate ShortlandMystery Thriller Drama Horror
115,all this panic,Dusty Rose Ryan,Lena M.,Ginger Leigh Ryan,Jenny Gage,Documentary,all this panicDusty Rose RyanLena M.Ginger Leigh RyanJenny GageDocumentary
116,youth in oregon,Frank Langella,Billy Crudup,Christina Applegate,Joel David Moore,Comedy Drama,youth in oregonFrank LangellaBilly CrudupChristina ApplegateJoel David MooreComedy Drama
117,song to song,Michael Fassbender,Ryan Gosling,Rooney Mara,Terrence Malick,Drama Music Romance,song to songMichael FassbenderRyan GoslingRooney MaraTerrence MalickDrama Music Romance
118,to the bone,Lily Collins,Carrie Preston,Lili Taylor,Marti Noxon,Drama,to the boneLily CollinsCarrie PrestonLili TaylorMarti NoxonDrama
119,girlfriend's day,Bob Odenkirk,Amber Tamblyn,Natasha Lyonne,Michael Stephenson,Comedy Drama,girlfriend's dayBob OdenkirkAmber TamblynNatasha LyonneMichael StephensonComedy Drama
120,have a nice day,Yang Siming,Cao Kou,Ma Xiaofeng,Liu Jian,Animation Crime,have a nice dayYang SimingCao KouMa XiaofengLiu JianAnimation Crime
121,american fable,Peyton Kennedy,Richard Schiff,Kip Pardue,Anne Hamilton,Drama Thriller,american fablePeyton KennedyRichard SchiffKip PardueAnne HamiltonDrama Thriller
123,my blind date with life,Kostja Ullmann,Anna Maria Mühe,Jacob Matschenz,Marc Rothemund,Comedy,my blind date with lifeKostja UllmannAnna Maria MüheJacob MatschenzMarc RothemundComedy
124,a good wife,Mirjana Karanović,Boris Isaković,Marko Nikolić,Mirjana Karanović,Drama,a good wifeMirjana KaranovićBoris IsakovićMarko NikolićMirjana KaranovićDrama
125,spoor,Agnieszka Mandat-Grabka,Wiktor Zborowski,Jakub Gierszał,Agnieszka Holland,Crime Drama Mystery Thriller,spoorAgnieszka Mandat-GrabkaWiktor ZborowskiJakub GierszałAgnieszka HollandCrime Drama Mystery Thriller
126,god's own country,Josh O'Connor,Alec Secareanu,Ian Hart,Francis Lee,Romance Drama,god's own countryJosh O'ConnorAlec SecareanuIan HartFrancis LeeRomance Drama
127,a fantastic woman,Daniela Vega,Francisco Reyes,Luis Gnecco,Sebastián Lelio,Drama,a fantastic womanDaniela VegaFrancisco ReyesLuis GneccoSebastián LelioDrama
128,colo,João Pedro Vaz,Alice Albergaria Borges,Beatriz Batarda,Teresa Villaverde,Drama,coloJoão Pedro VazAlice Albergaria BorgesBeatriz BatardaTeresa VillaverdeDrama
129,"ana, my love",Mircea Postelnicu,Diana Cavallioti,Carmen Tănase,Călin Peter Netzer,Drama,"ana, my loveMircea PostelnicuDiana CavalliotiCarmen TănaseCălin Peter NetzerDrama"
130,hostages,Irakli Kvirikadze,Tinatin Dalakishvili,Merab Ninidze,Rezo Gigineishvili,Drama,hostagesIrakli KvirikadzeTinatin DalakishviliMerab NinidzeRezo GigineishviliDrama
131,lovesong,Jena Malone,Riley Keough,Jessie Ok Gray,So Yong Kim,Drama Romance,lovesongJena MaloneRiley KeoughJessie Ok GraySo Yong KimDrama Romance
133,major grom,Aleksandr Gorbatov,Ivan Fominov,Anton Kuznetsov,Vladimir Besedin,Action Adventure Sci-Fi Drama,major gromAleksandr GorbatovIvan FominovAnton KuznetsovVladimir BesedinAction Adventure Sci-Fi Drama
134,becoming warren buffett,Warren Buffett,Susan Buffett,Bill Gates,Peter W. Kunhardt Brian Oakes,Documentary,becoming warren buffettWarren BuffettSusan BuffettBill GatesPeter W. Kunhardt Brian OakesDocumentary
135,everybody loves somebody,Karla Souza,José María Yazpik,Ben O'Toole,Catalina Aguilar Mastretta,Romance Comedy,everybody loves somebodyKarla SouzaJosé María YazpikBen O'TooleCatalina Aguilar MastrettaRomance Comedy
136,r.a.i.d. special unit,Alice Pol,Dany Boon,Michel Blanc,Dany Boon,Action Comedy,r.a.i.d. special unitAlice PolDany BoonMichel BlancDany BoonAction Comedy
137,britney ever after,Natasha Bassett,Jenna Berman,Matthew Harrison,Leslie Libman,Drama TV Movie,britney ever afterNatasha BassettJenna BermanMatthew HarrisonLeslie LibmanDrama TV Movie
139,fair haven,Tom Wopat,Michael Grant,Gregory Harrison,Kerstin Karlhuber,Family Drama,fair havenTom WopatMichael GrantGregory HarrisonKerstin KarlhuberFamily Drama
142,the glass castle,Brie Larson,Woody Harrelson,Naomi Watts,Destin Cretton,Drama,the glass castleBrie LarsonWoody HarrelsonNaomi WattsDestin CrettonDrama
143,fare,Thomas Torrey,Katherine Drew,J.R. Adduci,Thomas Torrey,Drama Thriller,fareThomas TorreyKatherine DrewJ.R. AdduciThomas TorreyDrama Thriller
144,tom of finland,Pekka Strang,Lauri Tilkanen,Jakob Oftebro,Dome Karukoski,Drama,tom of finlandPekka StrangLauri TilkanenJakob OftebroDome KarukoskiDrama
146,donald cried,Louisa Krause,Allie Marshall,Ariana DeFusco,Kris Avedisian,Drama Comedy,donald criedLouisa KrauseAllie MarshallAriana DeFuscoKris AvedisianDrama Comedy
147,zombie pizza,Rachel Barrer,Gleb Kaminer,Shaun Rey,Mike Dudko,Horror Comedy,zombie pizzaRachel BarrerGleb KaminerShaun ReyMike DudkoHorror Comedy
148,their finest,Gemma Arterton,Sam Claflin,Bill Nighy,Lone Scherfig,Romance War Comedy Drama,their finestGemma ArtertonSam ClaflinBill NighyLone ScherfigRomance War Comedy Drama
149,the ottoman lieutenant,Michiel Huisman,Hera Hilmar,Josh Hartnett,Joseph Ruben,Romance Drama War,the ottoman lieutenantMichiel HuismanHera HilmarJosh HartnettJoseph RubenRomance Drama War
150,lady macbeth,Florence Pugh,Cosmo Jarvis,Paul Hilton,William Oldroyd,Drama,lady macbethFlorence PughCosmo JarvisPaul HiltonWilliam OldroydDrama
151,the sense of an ending,Jim Broadbent,Charlotte Rampling,Harriet Walter,Ritesh Batra,Mystery Drama,the sense of an endingJim BroadbentCharlotte RamplingHarriet WalterRitesh BatraMystery Drama
152,carrie pilby,Bel Powley,Nathan Lane,Gabriel Byrne,Susan Johnson,Drama Comedy,carrie pilbyBel PowleyNathan LaneGabriel ByrneSusan JohnsonDrama Comedy
153,the institute,James Franco,Tim Blake Nelson,Lori Singer,James Franco Pamela Romanowsky,Thriller,the instituteJames FrancoTim Blake NelsonLori SingerJames Franco Pamela RomanowskyThriller
154,internet - o filme,Felipe Castanhari,Rafinha Bastos,PC Siqueira,Filippo Capuzzi Lapietra,Comedy,internet - o filmeFelipe CastanhariRafinha BastosPC SiqueiraFilippo Capuzzi LapietraComedy
155,patients,Pablo Pauly,Soufiane Guerrab,Moussa Mansaly,Mehdi Idir Grand Corps Malade,Drama Comedy,patientsPablo PaulySoufiane GuerrabMoussa MansalyMehdi Idir Grand Corps MaladeDrama Comedy
156,the shack,Sam Worthington,Octavia Spencer,Tim McGraw,Stuart Hazeldine,Drama Fantasy,the shackSam WorthingtonOctavia SpencerTim McGrawStuart HazeldineDrama Fantasy
157,the bride,Victoria Agalakova,Vyacheslav Chepurchenko,Alexandra Rebenok,Svyatoslav Podgayevskiy,Mystery Horror Thriller,the brideVictoria AgalakovaVyacheslav ChepurchenkoAlexandra RebenokSvyatoslav PodgayevskiyMystery Horror Thriller
